id,name,alias,name_en,category,kcal,protein,fat,carb,sodium
I0420601,雞胸骨湯,雞高湯,Chicken broth,肉類,9.0,1.5,0.3,0.2,24.0
I0420701,雞睪丸,"雞子,雞弗",Chicken: testicles,肉類,71.0,10.6,2.8,0.2,90.0
I0420801,雞腳(肉雞),"雞爪,鳳爪",Chicken: feet,肉類,209.0,20.7,13.3,1.2,102.0
I0420901,雞膝軟骨(肉雞),雞軟骨,,肉類,107.0,20.4,2.2,0.5,197.0
I0421001,雞皮(肉雞),,,肉類,442.0,11.7,43.4,0.0,40.0
I0500101,太空鴨,,"Whole duck without neck, wings ＆ feet",肉類,319.0,16.0,27.8,0.0,41.0
I0500201,番鴨,"麝番鴨,紅面鴨,紅面(正)番鴨",Muscovy duck; Cairina moschate,肉類,229.0,18.2,16.7,0.0,51.0
I0500301,太空鴨(去皮),,"Whole duck without neck, wings ＆ feet, skinned",肉類,102.0,20.1,1.8,0.0,64.0
I0500401,土番鴨,,Mule duck,肉類,111.0,20.9,2.4,0.0,70.0
I0502101,櫻桃鴨胸肉片,,,肉類,227.0,16.7,17.2,4.7,37.0
I0504101,鴨腿,,Ducks: drumsticks,肉類,282.0,14.4,24.5,3.4,48.0
I0520101,鴨血,,Ducks: blood,肉類,29.0,6.0,0.3,0.0,131.0
I0520201,鴨胗,鴨肫,Ducks: gizzards,肉類,97.0,20.5,1.1,0.3,79.0
I0520301,去骨鴨掌,,,肉類,113.0,12.6,6.6,0.0,78.0
I0520401,鴨腸,,Ducks: intestines,肉類,94.0,13.8,3.9,0.0,53.0
I0520601,鴨翅,,,肉類,170.0,22.8,8.1,0.0,67.0
I0520701,鴨頭,,,肉類,199.0,16.5,14.3,0.0,74.0
I0520801,鴨舌,,,肉類,187.0,16.0,13.2,0.0,57.0
I0600101,鵝肉,,Goose meat,肉類,187.0,15.6,13.4,2.4,54.0
I0602101,鵝胸肉,,Goose: brcast halves without drummtte,肉類,120.0,23.5,2.2,0.2,51.0
I0604101,鵝腿肉,,Goose: whole legs,肉類,130.0,21.7,4.2,0.0,75.0
I0620101,鵝心,,Goose: heart,肉類,241.0,14.5,19.9,0.0,72.0
I0620201,鵝肝,,Goose: liver,肉類,123.0,20.5,3.9,0.6,392.0
I0620301,鵝胗,鵝肫,Goose: gizzard,肉類,95.0,17.4,2.3,2.8,77.0
I0620401,鵝腸,,Goose: intestines,肉類,63.0,9.2,2.6,0.7,110.0
I0700101,火雞肉,"七面鳥,吐綬雞",Turkey meat,肉類,141.0,21.1,5.6,0.0,51.0
I0802101,鴕鳥菲力肉排,"鴕鳥腓力,鴕鳥里肌肉","Ostrich: tenderloin, sliced",肉類,105.0,22.8,0.8,0.8,59.0
I0804101,鴕鳥沙朗肉排,,,肉類,97.0,20.9,0.8,6.1,55.0
I0810101,鴕腱肉,"屈肌,伸肌",Ostrich: shank,肉類,107.0,18.7,3.1,0.2,75.0
I0810201,鴕腩肉,,Ostrich: flank,肉類,144.0,21.2,5.9,0.7,86.0
I1000101,山豬肉片,山豬肉,Sus scrofa,肉類,466.0,11.9,46.0,0.0,30.0
I9900101,虎皮蛙,"虎斑蛙,虎紋蛙,水雞,田雞,台灣青蛙",Frog; Chinese bullfrog,肉類,94.0,21.1,0.4,0.6,70.0
